,Precision@10,Recall@10,F1@10,NDCG@10
TF-IDF,0.18500000000000003,0.02236209975378626,0.039340515488089915,0.20106820006880297
Genre,0.135,0.01706734560408957,0.029944743258536057,0.13461019534514643
Combined,0.22000000000000003,0.027709435020686318,0.04842012554538701,0.2943780128184183
Item-Based,0.4999999999999999,0.11625226716247991,0.18580461053837943,0.5451809226823263
User-Based,0.0,0.0,0.0,0.0
